RANGO DE NUMEROS;NUMEROS PRIMOS;DURACION
615000000 a 616000000;49439;266,1596210002899
616000000 a 617000000;49287;263,03065061569214
617000000 a 618000000;49084;280,1815757751465
618000000 a 619000000;49419;274,378130197525
619000000 a 620000000;49488;310,38734245300293
620000000 a 621000000;49389;303,6883180141449
621000000 a 622000000;49317;293,956228017807
622000000 a 623000000;49310;288,4278178215027
623000000 a 624000000;49446;304,25438618659973
624000000 a 625000000;49485;311,6668953895569
625000000 a 626000000;49220;277,01724767684937
626000000 a 627000000;49431;311,31455063819885
627000000 a 628000000;49619;303,5235390663147
628000000 a 629000000;49319;310,62766122817993
629000000 a 630000000;49305;300,0621840953827
630000000 a 631000000;49294;282,1448721885681
631000000 a 632000000;49446;269,07950019836426
632000000 a 633000000;49147;286,798805475235
633000000 a 634000000;49285;287,6227238178253
634000000 a 635000000;49407;282,3088171482086
635000000 a 636000000;49380;280,11613726615906
636000000 a 637000000;49382;288,66897988319397
637000000 a 638000000;49365;278,1435570716858
638000000 a 639000000;49261;285,3779847621918
639000000 a 640000000;49254;280,36762833595276
640000000 a 641000000;49513;302,27899742126465
641000000 a 642000000;49218;292,4712154865265
642000000 a 643000000;49274;280,21442770957947
643000000 a 644000000;49204;282,70249605178833
644000000 a 645000000;49098;280,0227429866791
645000000 a 646000000;49503;280,48702573776245
646000000 a 647000000;49213;265,2637960910797
647000000 a 648000000;49400;266,1703929901123
648000000 a 649000000;49257;268,2186667919159
649000000 a 650000000;49265;267,3016188144684
650000000 a 651000000;49427;266,5213785171509
651000000 a 652000000;49171;268,5122079849243
652000000 a 653000000;49293;270,1743574142456
653000000 a 654000000;49322;303,96792364120483
654000000 a 655000000;49183;319,5884680747986
655000000 a 656000000;49200;316,1614918708801
656000000 a 657000000;49320;310,7288088798523
657000000 a 658000000;49323;325,4118480682373
658000000 a 659000000;49222;297,1097996234894
659000000 a 660000000;49314;311,97473430633545
660000000 a 661000000;49291;311,10380268096924
